122886,81927,0.00006109481915933529,0.00006109481915933529,16376
138008,77474,104,Pleak Tempo,Mission
138043,77122,101,Crystal Pede Tempo,Mission
137786,77025,103,Tree Dragon Tempo,Mission
138027,76825,100,Junk Scout Bots Tempo,Mission
137528,77527,110,Puny Dire Weed Tempo,Mission
138198,76545,100,Steering wheel,Mission,Drowned Lancer
137966,76718,101,Exhaust,Mission,Drowned Dragonfly
138096,76646,101,Armor Thigh Gards,Mission,Special Mission Armor parts
137595,76883,100,Shoe Piece,Mission,Special Mission Clothing Pieces
